Rate: 1 Latencies: 	62.6870780994	62.6870780994	62.6870780994	62.5802845938
Rate: 2 Latencies: 	62.6902807209	62.6902807209	62.6902807209	62.6175605381
Rate: 3 Latencies: 	62.815091207	62.815091207	62.815091207	62.6288206278
Rate: 4 Latencies: 	62.7156395412	62.7156395412	62.7156395412	62.6888475336
Rate: 5 Latencies: 	62.8086684872	62.8086684872	62.8086684872	62.629405042
Rate: 6 Latencies: 	62.9019421081	62.9019421081	62.9019421081	62.7263408072
Rate: 7 Latencies: 	62.8926644809	62.8926644809	62.8926644809	62.8752215367
Rate: 8 Latencies: 	66.9578497462	67.485462141	67.485462141	70.3370808081
Rate: 9 Latencies: 	68.8508637931	71.4907118321	70.7735480315	71.5195978091
Rate: 10 Latencies: 	80.2822222222	80.2822222222	80.2822222222	152.4625
Rate: 11 Latencies: 	497.746	497.746	497.746	586.1192
Rate: 12 Latencies: 	1115.352	1115.352	1115.352	109.785777778
