Rate: 1.0 Throughputs: 	7.62003555772	7.62003555772	7.62003555772	7.1558158776
Rate: 1.5 Throughputs: 	7.60999531716	7.60999531716	7.60999531716	7.15571414868
Rate: 2.0 Throughputs: 	7.62063500526	7.62063500526	7.62063500526	7.15520860886
Rate: 2.5 Throughputs: 	7.6188551057	7.6188551057	7.6188551057	7.15561235458
Rate: 3.0 Throughputs: 	7.60751258163	7.60751258163	7.60751258163	7.15559984968
Rate: 3.5 Throughputs: 	7.61283361469	7.61283361469	7.61283361469	7.15525636853
Rate: 4.0 Throughputs: 	7.61605257846	7.61605257846	7.61605257846	7.15215046332
Rate: 4.5 Throughputs: 	7.59687576669	7.59687576669	7.59687576669	7.15357741485
Rate: 5.0 Throughputs: 	7.60347469298	7.60347469298	7.60347469298	7.15504647961
Rate: 5.5 Throughputs: 	7.60635456669	7.60635456669	7.60635456669	7.13906985869
Rate: 6.0 Throughputs: 	7.58528298823	7.58528298823	7.58528298823	7.14392238234
Rate: 6.5 Throughputs: 	7.59090791394	7.59090791394	7.59090791394	7.14055203479
Rate: 7.0 Throughputs: 	7.58468923937	7.58468923937	7.58468923937	7.12126679263
Rate: 7.5 Throughputs: 	7.1580443695	7.1580443695	7.1580443695	6.97341702236
Rate: 8.0 Throughputs: 	4.55043653826	5.25868009589	5.25868009589	5.61782147688
Rate: 8.5 Throughputs: 	3.94208571857	3.32798732189	4.24504055333	4.38778001166
Rate: 9.0 Throughputs: 	2.87982799555	2.61795692308	3.23215201379	2.67845699318
Rate: 9.5 Throughputs: 	1.8786163889	1.41609787334	1.91058748251	1.74356709132
Rate: 10.0 Throughputs: 	0.181682165048	0.181682165048	0.181682165048	0.174181097684
Rate: 10.5 Throughputs: 	0.107601085463	0.0776146174633	0.11564026634	0.0837711555778
Rate: 11.0 Throughputs: 	0.0858247292792	0.0858247292792	0.0858247292792	0.109580099707
Rate: 11.5 Throughputs: 	0.0499828819369	0.0499828819369	0.0499828819369	0.100346254132
Rate: 12.0 Throughputs: 	0.0587489763745	0.0587489763745	0.0587489763745	0.118939526374
Rate: 12.5 Throughputs: 	0.04484754937	0.04484754937	0.04484754937	0.0537326846867
